Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
505100,India Radiators Ltd,INRADIA,INDIA RADIATORS Ltd,Active,X ,10.0,INE461Y01016,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505160,Talbros Automotive Components Ltd,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS Ltd,Active,B ,2.0,INE187D01029,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505163,Z.F. Steering Gear (India) Limited,ZFSTEERING,Z.F.STEERING GEAR (INDIA) Ltd-$,Active,B ,10.0,INE116C01012,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505192,SML ISUZU LIMITED,SMLISUZU,SML ISUZU LIMITED,Active,B ,10.0,INE294B01019,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505196,TIL Ltd,TIL,TIL Ltd,Active,B ,10.0,INE806C01018,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505200,Eicher Motors Ltd,EICHERMOT,EICHER MOTORS Ltd,Active,A ,1.0,INE066A01021,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505212,JAINEX AAMCOL Ltd,JAINEX,JAINEX AAMCOL Ltd,Active,XT,10.0,INE280F01019,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505216,Alfred Herbert (India) Ltd,ALFREDHE,ALFRED HERBERT (INDIA) Ltd,Active,X ,10.0,INE782D01027,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505232,Veljan Denison Limited,VELJAN,Veljan Denison Limited,Active,X ,10.0,INE232E01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505242,Dynamatic Technologies Ltd,DYNAMATECH,DYNAMATIC TECHNOLOGIES Ltd-$,Active,A ,10.0,INE221B01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505250,G. G. Dandekar Properties Limited,GGDPROP,G. G. Dandekar Properties Ltd,Active,X ,1.0,INE631D01026,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505255,GMM Pfaudler Ltd,GMMPFAUDLR,GMM PFAUDLER Ltd,Active,A ,2.0,INE541A01023,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505283,Kirloskar Pneumatic Co.Ltd,KIRLPNU,KIRLOSKAR PNEUMATIC CO.Ltd,Active,A ,2.0,INE811A01020,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505285,Tulive Developers Limited,TULIVE,Tulive Developers Limited,Active,XT,10.0,INE637D01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505299,KPT INDUSTRIES LIMITED,KPT,KPT Industries Ltd,Active,X ,5.0,INE731D01024,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505302,LAKSHMI ENGINEERING AND WAREHOUSING LIMITED,LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd,Active,X ,100.0,INE718M01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505324,Manugraph India Ltd,MANUGRAPH,MANUGRAPH INDIA Ltd-$,Active,B ,2.0,INE867A01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505336,HARSHIL AGROTECH LIMITED,HARSHILAGR,Harshil Agrotech Ltd,Active,XT,1.0,INE098E01026,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505343,Monotype India Ltd,MONOT,MONOTYPE INDIA Ltd,Active,Z ,1.0,INE811D01024,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505355,Nesco Ltd,NESCO,NESCO Ltd,Active,B ,2.0,INE317F01035,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505358,Integra Engineering India Ltd,INTEGRAEN,INTEGRA ENGINEERING INDIA Ltd,Active,X ,1.0,INE984B01023,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.0,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
